Время,Время моделирования,Квазистац - ступеньки
0,85925.5,-2.01068
0,86261.7,-6.05744
0,86598.7,6.3892
0,86935.2,0.461617
0,87271.8,-11.6425
0,87608.7,-1.25377
0,87945.6,10.621
0,88281.6,-3.89437
0,88618.1,-10.3548
0,88955.8,1.39535
0,89291.8,-0.478224
0,89628.3,4.27623
0,89964.5,0.292189
0,90301.5,-3.89872
0,90638.7,10.0713
0,90974.7,8.10561
0,91310.4,-2.93346
0,91646.9,-15.6375
0,91984.7,9.86093
0,92320.9,6.66809
0,92657.1,5.59411
0,92992.9,-14.8529
0,93330.4,-4.11522
0,93667.1,-7.08339
0,94004.8,-1.54081
0,94341.4,-10.1184
0,94678.6,9.27197
0,95014.7,-8.69889
0,95352.3,-5.40736
0,95689.1,4.42543
0,96025.3,-2.68095
0,96362,0.653722
0,96698.5,-8.57007
0,97035.7,-10.6499
0,97373.2,15.9609
0,97708.4,7.8299
0,98044.3,-16.1552
0,98381.8,-1.57171
0,98718,-5.1396
0,99055.1,7.70294
0,99390.9,-7.65172
0,99728.5,-0.389616
0,100065,-1.61832
0,100402,10.0241
0,100737,-5.06248
0,101074,-9.08799
0,101411,-9.02408
0,101747,-14.9633
0,102085,-11.8401
0,102422,-10.1653
0,102759,1.49829
0,103095,-4.91174
0,103432,-4.85976
0,103769,7.37704
0,104104,-7.26048
0,104441,-0.865085
0,104777,-4.02269
0,105114,-13.0267
0,105452,7.05474
0,105788,-15.1553
0,106125,-10.1012
0,106462,-18.2746
0,106800,0.752266
0,107137,-3.38374
0,107474,-0.322126
0,107810,1.23852
0,108147,-4.26385
0,108484,1.80822
0,108821,-7.35087
0,109158,3.20117
0,109495,7.69546
0,109831,28.4211
0,110166,1.14521
0,110502,-16.7414
0,110840,-6.352
0,111176,8.16562
0,111513,-2.10788
0,111849,6.73192
0,112185,-8.61807
0,112523,22.6948
0,112858,0.124636
0,113194,-2.39716
0,113531,24.3806
0,113866,4.59106
0,114203,3.39996
0,114540,-0.931629
0,114876,7.44967
0,115213,-2.98485
0,115549,8.47533
0,115886,-1.59614
0,116222,-7.73606
0,116560,3.8198
0,116896,-6.51325
0,117234,7.509
0,117570,10.7207
0,117906,17.0656
0,118241,5.70312
0,118578,3.18025
0,118914,-0.769761
0,119251,0.128534
0,119587,11.0538
0,119923,-2.76734
0,120260,15.8747
0,120595,10.6168
0,120932,-0.11473
0,121268,13.7837
0,121604,-6.05219
0,121941,5.03384
0,122277,12.9738
0,122613,-2.01575
0,122949,-2.21609
0,123286,0.0341599
0,123623,-0.952322
0,123960,11.3733
0,124295,-1.37308
0,124632,-10.8039
0,124970,1.88235
0,125306,3.55738
0,125642,-5.63094
0,125979,-5.20102
0,126316,4.20006
0,126653,9.93973
0,126989,5.24238
0,127325,14.4104
0,127661,7.62062
0,127997,7.67215
0,128333,-0.784612
0,128671,-4.31684
0,129008,2.02082
0,129344,-4.35645
0,129681,5.2999
0,130017,-12.3942
0,130354,8.96057
0,130690,17.8888
0,131025,14.8137
0,131360,-18.3841
0,131698,-15.3307
0,132036,-3.93666
0,132373,9.84176
0,132709,2.11873
0,133045,-2.95256
0,133381,-2.33341
0,133718,3.62204
0,134055,0.61353
0,134391,17.0625
0,134727,-4.07558
0,135064,4.69119
0,135399,4.48049
0,135736,0.401008
0,136072,1.0729
0,136409,14.4029
0,136744,-9.4968
0,137081,9.32033
0,137416,2.32745
0,137752,1.32048
0,138089,8.25535
0,138424,-2.91631
0,138761,-19.362
0,139098,-8.74372
0,139435,-4.63972
0,139772,-2.73241
0,140109,-13.4569
0,140446,-1.87703
0,140783,-11.5007
0,141120,-8.65097
0,141457,-13.3635
0,141794,-17.5809
0,142131,-8.07024
0,142468,-8.57701
0,142805,-4.96821
0,143142,-7.74324
0,143479,-11.6583
0,143817,-14.6693
0,144154,-11.1843
0,144491,-0.169808
0,144827,9.60592
0,145163,3.27154
0,145499,-8.82269
0,145836,-9.82681
0,146173,-18.3256
0,146511,5.99817
0,146848,-8.2396
0,147185,-0.941174
0,147521,-9.26919
0,147858,-3.95649
0,148195,1.61824
0,148531,-2.13612
0,148867,7.05697
0,149203,6.43768
0,149538,3.58874
0,149874,-0.127877
0,150210,-0.866716
0,150547,-14.4105
0,150884,3.29068
0,151220,-5.29074
0,151557,-13.7026
0,151894,2.06521
0,152230,-13.3986
0,152568,7.66
0,152903,-11.2455
0,153241,1.74167
0,153577,-10.5108
0,153914,-16.6529
0,154251,4.14638
0,154587,1.44359
0,154923,1.88881
0,155259,1.68404
0,155595,4.85917
0,155931,-1.12163
0,156268,9.35874
0,156604,-0.387741
0,156940,6.69619
0,157276,-1.99125
0,157612,2.00348
0,157948,-12.8547
0,158286,-0.441103
0,158622,21.9145
0,158957,-9.25713
0,159294,-19.8028
0,159632,10.2563
0,159967,-3.19331
0,160303,-2.94752
0,160640,-15.3818
0,160977,8.0501
0,161312,-7.59684
0,161649,6.16448
0,161986,8.2806
0,162321,12.7044
0,162657,-5.22647
0,162993,-23.9741
0,163331,-9.68706
0,163668,-1.08979
0,164004,-13.2502
0,164342,8.66225
0,164678,-3.8506
0,165015,6.15382
0,165351,3.29412
0,165686,13.6226
0,166022,-8.84885
0,166359,-13.9519
0,166696,-4.99041
0,167032,-0.85788
0,167369,10.2033
0,167704,-1.47043
0,168040,0.295681
0,168377,-3.56736
0,168713,0.235995
0,169050,-4.44931
0,169386,-15.1581
0,169724,-14.6374
0,170061,-21.5732
0,170398,6.63478
0,170734,-0.748566
0,171070,-6.05688
0,171406,-2.92946
0,171743,-11.6128
0,172080,-0.379038
0,172416,-20.2813
0,172754,-10.8676
0,173090,-14.7248
0,173428,2.63033
0,173764,4.48629
0,174100,-5.27424
0,174437,-6.52772
0,174774,4.07282
0,175110,2.72384
0,175446,0.816981
0,175782,-12.3128
0,176119,-2.78636
0,176455,5.83035
0,176791,-3.83058
0,177127,-3.51788
0,177464,-3.33029
0,177800,-5.93024
0,178137,-13.765
0,178475,0.224962
0,178811,-7.13567
0,179147,-4.91435
0,179483,4.24838
0,179819,2.57472
0,180155,0.599846
0,180491,-0.716781
0,180827,1.2269
0,181164,-4.78675
0,181500,-3.2493
0,181836,-7.55248
0,182172,-0.943243
0,182508,-14.4246
0,182846,-0.647505
0,183182,-8.67458
0,183518,-2.75197
0,183855,4.92425
0,184190,6.82094
0,184526,-21.4648
0,184863,5.85991
0,185199,2.07347
0,185535,-8.08735
0,185873,-7.55235
0,186213,-17.4399
0,186554,-3.21036
0,186894,6.48822
0,187232,-5.5118
0,187570,-22.8972
0,187909,-16.2166
0,188247,-2.32857
0,188583,-5.13481
0,188920,1.33952
0,189256,-18.8961
0,189593,-5.57313
0,189929,-19.1716
0,190267,-1.09995
0,190603,3.46439
0,190939,-7.21873
0,191276,-4.45997
0,191613,-1.04816
0,191949,-3.83739
0,192286,-12.6053
0,192622,1.03179
0,192958,5.55373
0,193294,-9.78123
0,193631,-2.81203
0,193968,-1.87692
0,194304,-7.97988
0,194640,-15.1867
0,194977,-3.11097
0,195314,-10.5931
0,195652,3.89485
0,195987,-13.6186
0,196325,-4.4028
0,196661,-8.62445
0,196998,3.80611
0,197334,7.4712
0,197670,-12.1385
0,198007,-4.69142
0,198344,4.4773
0,198680,-0.745287
0,199017,-10.9166
0,199355,-9.68936
0,199692,-14.3132
0,200029,-0.785543
0,200366,-7.51713
0,200704,398.291
0,201134,42.2401
0,201784,-10.1887
0,202526,-10.6667
0,203249,-7.30376
0,203963,-3.91417
0,204675,-9.99018
0,205390,3.94315
0,206104,-5.95884
0,206819,-4.47806
0,207535,-14.2961
0,208250,-10.5975
0,208964,1.93015
0,209677,-14.4907
0,210395,-12.8769
0,211109,-1.89907
0,211826,-7.46633
0,212541,-15.1782
0,213256,-1.97046
0,213969,-7.23011
0,214685,-14.9632
0,215400,-7.3645
0,216112,-5.77383
0,216826,-15.6572
0,217543,5.01545
0,218256,-23.8287
0,218974,-10.8372
0,219692,0.897175
0,220406,-5.07922
0,221121,-16.0181
0,221836,-6.38869
0,222550,-9.00375
0,223266,-7.64101
0,223981,-11.4045
0,224694,-6.96581
0,225409,-16.9614
0,226127,-6.34386
0,226842,-3.76131
0,227554,-14.0992
0,228269,-11.7224
0,228986,-8.55884
0,229703,-11.3475
0,230420,-18.0896
0,231139,-16.9207
0,231857,-10.4543
0,232579,-9.08737
0,233296,-6.49672
0,234013,-8.50038
0,234731,-18.5077
0,235450,-1.6788
0,236170,-4.7734
0,236888,-19.9182
0,237606,-10.1213
0,238325,-4.62216
0,239042,-2.58546
0,239757,-11.2283
0,240474,-12.6056
0,241192,-2.63593
0,241909,-4.04656
0,242625,-9.83266
0,243345,-2.62593
0,244061,-3.36237
0,244778,-2.25586
0,245494,-12.6225
0,246218,-0.826881
0,246934,1.6631
0,247650,-7.75931
0,248370,-17.7337
0,249092,3.61706
0,249809,-9.10272
0,250528,-6.47067
0,251245,-8.01233
0,251962,-10.6907
0,252682,-8.88461
0,253403,-2.47341
0,254122,0.673556
0,254839,-5.35044
0,255558,-14.7776
0,256276,-4.92246
0,256996,-4.44317
0,257716,-14.94
0,258435,-5.60447
0,259154,-11.7729
0,259874,-9.2953
0,260594,-8.86983
0,261316,-16.0276
0,262039,-16.7752
0,262757,-0.226196
0,263474,-4.26721
0,264198,-9.54518
0,264920,-5.78644
0,265638,-2.68272
0,266356,-9.11331
0,267076,-2.6494
0,267792,1.02244
0,268509,-3.84044
0,269230,-9.83303
0,269946,-6.78658
0,270665,-7.22326
0,271384,-5.452
0,272102,-3.54606
0,272822,-8.09494
0,273541,-4.09115
0,274260,-11.0736
0,274980,-15.656
0,275701,-13.3897
0,276420,-12.6836
0,277144,-3.29404
0,277860,-12.7303
0,278583,-0.173938
0,279302,-13.0779
0,280021,-7.05586
0,280739,-11.0893
0,281460,-7.40173
0,282180,-10.9877
0,282900,-10.8295
0,283620,-9.10285
0,284340,-2.79493
0,285058,-18.1077
0,285782,-14.099
0,286504,-23.0797
0,287227,-12.3076
0,287949,-21.5876
0,288671,-23.6302
0,289392,-24.7748
0,290114,-28.8768
0,290835,-20.9851
0,291557,-23.955
0,292284,-392.577
0,292853,-399.943
0,293423,-398.347
0,293993,-399.095
0,294563,-401.06
0,295132,-395.787
0,295702,-404.646
0,296273,-405.095
0,296844,-411.65
0,297414,-410.002
0,297983,-411.936
0,298552,-414.376
0,299124,-417.986
0,299695,-424.998
0,300265,-428.233
0,300837,-431.822
0,301406,-438.258
0,301978,-433.236
0,302549,-437.431
0,303119,-439.274
0,303687,-115.16
0,304157,-111.862
0,304626,-105.376
0,305099,-102.695
0,305576,-101.095
0,306054,-104.324
0,306534,-106.329
0,307014,-112.548
0,307490,-115.55
0,307962,-107.375
0,308432,-114.422
0,308904,-96.9402
0,309371,-103.387
0,309840,-113.013
0,310310,-118.305
0,310782,-109.69
0,311251,-110.261
0,311722,-102.055
0,312191,-102.463
0,312659,-107.964
0,313128,-111.321
0,313598,-111.092
0,314066,-112.886
0,314535,-116.088
0,315005,-105.411
0,315473,-119.962
0,315943,-111.286
0,316412,-106.61
0,316880,-112.762
0,317350,-101.712
0,317819,-108.062
0,318288,-103.122
0,318756,-109.813
0,319226,-103.668
0,319697,-103.598
0,320167,-103.615
0,320636,-106.26
0,321107,-111.68
0,321576,-105.687
0,322045,-100.502
0,322513,-102.564
0,322982,-106.717
0,323451,-107.26
0,323919,-108.386
0,324387,-100.868
0,324856,-100.452
0,325325,-100.082
0,325792,-100.52
0,326261,-116.482
0,326732,-116.285
0,327203,-100.173
0,327671,-104.896
0,328139,-100.272
0,328607,-106.773
0,329077,-113.206
0,329546,-97.1935
0,330013,-108.916
0,330481,-114.358
0,330951,-107.023
0,331420,-104.284
0,331889,-106.959
0,332358,-104.876
0,332827,-107.883
0,333297,-105.837
0,333766,-107.481
0,334235,-108.131
0,334706,-98.5367
0,335174,-95.8416
0,335643,-95.5443
0,336112,-85.2749
0,336580,-99.438
0,337050,-94.1964
0,337520,-93.3727
0,337989,-92.9336
0,338459,-86.9145
0,338928,-86.6493
0,339399,-84.8937
0,339870,-75.1805
0,340339,-94.436
0,340812,-74.2563
0,341283,-75.9665
0,341753,-65.6357
0,342222,-62.3654
0,342692,-69.1693
0,343164,-57.2428
0,343634,-51.3119
0,344103,-67.8924
0,344577,-55.9335
0,345047,-52.159
0,345517,-52.0107
0,345989,-41.1322
0,346458,-27.722
0,346927,-34.7007
0,347396,-30.6753
0,347866,-30.5137
0,348336,-26.1773
0,348807,-15.2452
0,349275,-16.8543
0,349744,-22.6666
0,350215,-22.4092
0,350686,-4.06948
0,351155,-11.9687
0,351624,-6.05672
0,352093,-16.1371
0,352562,-14.3053
0,353031,-24.8412
0,353503,-23.2765
0,353974,-19.7209
0,354444,-21.5631
0,354915,-10.1441
0,355384,-9.77834
0,355853,-14.1106
0,356323,-9.15025
0,356792,-15.2948
0,357263,-24.381
0,357736,-6.92818
0,358206,-9.88708
0,358677,-11.9291
0,359145,-20.8254
0,359615,-20.0245
0,360086,-23.7359
0,360556,-12.1361
0,361026,-10.179
0,361496,-14.1497
0,361967,-28.0386
0,362440,-13.6087
0,362910,-7.23038
0,363384,-12.588
0,363864,-8.6987
0,364341,20.3161
0,364709,-0.194725
0,365084,-3.32295
0,365459,3.58698
0,365834,-15.9216
0,366211,1.76744
0,366586,3.31532
0,366961,1.52713
0,367336,5.45114
0,367711,6.92607
0,368086,17.2898
0,368459,-19.4877
0,368837,9.60464
0,369211,-2.02176
0,369588,0.358672
0,369964,3.93157
0,370340,5.08346
0,370716,-5.57094
0,371092,-7.71845
0,371470,-7.60566
0,371847,-4.7229
0,372224,9.87445
0,372600,3.95097
0,372976,2.17536
0,373352,2.75191
0,373728,2.48586
0,374103,-8.83742
0,374479,18.0065
0,374852,6.19697
0,375227,10.7322
0,375601,13.3288
0,375974,-7.08868
0,376350,9.91081
0,376724,-14.2457
0,377100,-3.08082
0,377475,3.22421
0,377849,1.83165
0,378223,-5.41475
0,378599,-2.22452
0,378974,2.69264
0,379348,-1.75115
0,379723,-0.8441
0,380098,-0.816916
0,380473,2.57193
0,380847,8.74455
0,381221,12.0727
0,381594,4.94461
0,381969,7.60873
0,382343,1.52906
0,382717,7.23494
0,383091,-1.43448
0,383466,-2.56906
0,383842,12.0532
0,384215,4.78342
0,384589,-8.23132
0,384964,4.80668
0,385339,8.31177
0,385713,0.878414
0,386088,5.97228
0,386462,5.75533
0,386837,-1.32462
0,387212,-4.65479
0,387587,5.89077
0,387962,-0.55922
0,388337,2.40442
0,388712,1.89684
0,389086,7.37526
0,389461,-1.15583
0,389836,-7.94015
0,390211,-16.4762
0,390588,7.62408
0,390962,1.01509
0,391337,4.80026
0,391712,0.538661
0,392087,-14.3715
0,392464,11.1227
0,392838,-0.842166
0,393213,4.49909
0,393589,4.69972
0,393963,-5.25841
0,394338,-2.37758
0,394714,11.5318
0,395088,-4.2572
0,395464,0.671117
0,395838,11.6176
0,396213,0.644467
0,396587,2.14706
0,396962,-0.400071
0,397338,-3.06914
0,397713,-0.611555
0,398088,0.895907
0,398463,3.18915
0,398838,5.98718
0,399213,3.99397
0,399587,16.4361
0,399961,3.30271
0,400337,0.675994
0,400712,7.06626
0,401087,5.5863
0,401462,-2.7276
0,401838,7.08992
0,402212,16.3888
0,402586,1.69883
0,402961,8.94873
0,403335,8.65741
0,403710,22.9858
0,404083,-8.98096
0,404459,12.7616
0,404833,-0.851672
0,405209,13.1507
0,405583,2.65474
0,405958,-4.43673
0,406333,6.21551
0,406708,11.6939
0,407082,-1.68479
0,407458,-2.74712
0,407833,0.584723
0,408209,11.7146
0,408584,18.3598
0,408957,15.6857
0,409331,8.07553
0,409705,6.47493
0,410079,0.318725
0,410454,9.37925
0,410828,10.8627
0,411203,11.6769
0,411578,-7.26992
0,411954,6.29151
0,412329,11.0119
0,412703,1.51987
0,413078,-3.2363
0,413453,-6.28024
0,413829,1.61867
0,414203,14.9704
0,414577,16.7795
0,414950,7.90861
0,415325,4.8394
0,415699,10.9236
0,416073,16.2892
0,416446,22.8306
0,416819,17.9642
0,417193,20.2715
0,417566,8.26404
0,417941,13.3544
0,418316,11.4488
0,418691,12.65
0,419068,5.692
0,419444,4.30789
0,419822,4.55622
0,420199,3.73454
0,420576,7.12517
0,420953,1.01556
0,421331,12.4903
0,421707,10.8469
0,422084,2.4353
0,422461,15.0893
0,422836,22.587
0,423209,1.08622
0,423584,16.954
0,423958,13.0729
0,424332,21.639
0,424705,18.4936
0,425077,7.61109
0,425452,10.3472
0,425825,3.41537
0,426200,11.8237
0,426573,2.6427
0,426948,0.867579
0,427323,4.5989
0,427697,20.5651
0,428070,7.89451
0,428444,-9.01082
0,428819,-6.41252
0,429194,1.73236
0,429568,13.0781
0,429941,-0.668503
0,430316,2.68508
0,430691,6.98472
0,431064,11.5174
0,431438,-3.99755
0,431812,15.174
0,432185,-3.26217
0,432560,15.96
0,432933,6.75405
0,433306,-4.29319
0,433680,-7.7579
0,434055,-5.46914
0,434429,-16.3344
0,434805,-6.81567
0,435180,-6.40178
0,435554,1.88303
0,435928,0.114894
0,436302,-5.19928
0,436677,-15.3294
0,437052,-4.67239
0,437426,-6.39891
0,437801,8.43303
0,438174,4.72278
0,438548,11.5418
0,438921,17.53
0,439293,15.5426
0,439666,-10.4521
0,440041,8.40363
0,440414,-10.8434
0,440789,-11.2037
0,441164,0.0758149
0,441538,-1.22837
0,441912,-1.73713
0,442287,4.60259
0,442660,11.4691
0,443034,5.50342
0,443407,-4.09993
0,443782,0.140251
0,444156,7.81983
0,444530,13.6814
0,444903,3.34895
0,445276,-4.58519
0,445651,16.9623
0,446023,1.74205
0,446397,5.93574
0,446770,-2.33009
0,447144,5.3064
0,447517,-2.69837
0,447891,3.69847
0,448264,0.507496
0,448638,-8.38008
0,449012,6.21719
0,449385,-9.43039
0,449760,-7.07822
0,450134,-4.5753
0,450508,-16.0515
0,450884,8.63248
0,451256,2.40341
0,451630,-3.33288
0,452004,9.29804
0,452376,-7.07949
0,452750,0.144991
0,453124,-0.479347
0,453497,6.33644
0,453870,2.25194
0,454244,2.44155
0,454617,-7.25058
0,454991,-2.89437
0,455365,2.61033
0,455739,11.004
0,456111,-0.593094
0,456485,8.31236
0,456857,-2.89574
0,457232,1.56529
0,457605,0.695204
0,457979,3.23254
0,458352,-3.98801
0,458726,-10.8847
0,459102,-4.21002
0,459476,-1.41345
0,459850,-3.5783
0,460224,-12.11
0,460599,-3.91812
0,460972,-1.84801
0,461347,7.9009
0,461720,-5.30039
0,462094,15.732
0,462466,20.4143
0,462838,7.92619
0,463211,8.03565
0,463583,-2.20021
0,463957,-7.53384
0,464330,2.29867
0,464703,-4.75132
0,465077,-10.9186
0,465452,6.0405
0,465824,0.484526
0,466198,-0.886494
0,466570,-4.54902
0,466945,0.627585
0,467318,0.00416018
0,467692,3.42526
0,468066,5.31179
0,468439,3.39392
0,468812,1.12435
0,469186,-4.88245
0,469560,6.31999
0,469933,-2.64535
0,470307,9.31484
0,470680,4.93441
0,471053,5.85084
0,471426,0.00622539
0,471800,14.2812
0,472173,5.75314
0,472546,-9.90586
0,472922,-4.07364
0,473296,-11.1152
0,473671,3.15003
0,474045,0.833715
0,474418,1.83627
0,474792,3.08937
0,475165,-6.30091
0,475540,-8.77134
0,475914,2.20314
0,476288,0.115743
0,476662,13.2784
0,477035,5.00893
0,477409,-1.6069
0,477784,9.7071
0,478157,-6.06949
0,478531,-6.24111
0,478906,-0.619492
0,479280,-6.79516
0,479655,7.95735
0,480028,7.85663
0,480400,3.94494
0,480773,-2.2829
0,481147,8.5809
0,481520,6.07388
0,481893,5.93874
0,482266,1.57622
0,482639,12.2582
0,483011,-12.0884
0,483386,-6.51447
0,483760,-0.667931
0,484134,-6.96084
0,484509,1.92229
0,484882,18.3712
0,485254,0.720701
0,485628,6.67174
0,486001,7.61527
0,486374,-4.31735
0,486747,-5.4154
0,487113,-4.3223
0,487474,2.04129
0,487831,7.24923
0,488186,1.6521
0,488541,-11.2986
0,488896,5.99127
0,489249,7.3353
0,489603,5.04228
0,489956,7.72881
0,490309,8.35613
0,490661,1.32184
0,491015,-14.6734
0,491370,5.19249
0,491723,12.7856
0,492076,12.4646
0,492428,17.5984
0,492780,8.86631
0,493133,12.8688
0,493486,8.56854
0,493838,13.841
0,494191,7.80549
0,494543,3.94495
0,494897,11.4833
0,495249,5.70208
0,495603,5.88432
0,495955,2.74555
0,496309,9.57173
0,496661,18.6966
0,497013,20.1095
0,497366,11.3126
0,497719,3.59848
0,498072,2.63049
0,498427,6.95466
0,498781,-10.8687
0,499137,16.2504
0,499489,-12.3882
0,499844,30.14
0,500199,28.4967
0,500578,-62.0897
0,501108,-33.523
0,501590,-13.6196
0,502060,-24.2823
0,502529,-6.47765
0,502994,-18.7749
0,503461,-12.8001
0,503927,-30.831
0,504396,-8.62912
0,504863,-6.73324
0,505328,-19.0832
0,505795,-13.9985
0,506262,-13.7681
0,506728,-7.23648
0,507194,-13.6355
0,507660,-220.588
0,508123,3.70291
0,508494,-14.0229
0,508863,-5.11373
0,509225,7.26276
0,509582,-5.53313
0,509939,5.6737
0,510295,-0.0527881
0,510649,9.00153
0,511003,4.83649
0,511357,3.17501
0,511711,7.05651
0,512064,6.71244
0,512417,14.3307
0,512770,20.2849
0,513122,5.27672
0,513475,7.54123
0,513828,-2.03569
0,514182,2.56508
