time,x,Давление
0,0,6e+06
0,707.86,5.98642e+06
0,1415.72,5.93834e+06
0,2123.58,5.96991e+06
0,2831.44,6.12512e+06
0,3539.3,6.20153e+06
0,4247.16,6.12083e+06
0,4955.02,5.97519e+06
0,5662.88,5.82185e+06
0,6370.74,5.81182e+06
0,7078.6,5.90513e+06
0,7786.46,5.94358e+06
0,8494.32,5.9349e+06
0,9202.18,5.88497e+06
0,9910.04,5.84634e+06
0,10617.9,5.89152e+06
0,11325.8,5.99867e+06
0,12033.6,5.98692e+06
0,12741.5,5.98512e+06
0,13449.3,6.06173e+06
0,14157.2,6.15984e+06
0,14865.1,6.27485e+06
0,15572.9,6.32443e+06
0,16280.8,6.37989e+06
0,16988.6,6.44225e+06
0,17696.5,6.33669e+06
0,18404.4,6.19085e+06
0,19112.2,6.15254e+06
0,19820.1,6.13341e+06
0,20527.9,6.14271e+06
0,21235.8,6.14761e+06
0,21943.7,6.12825e+06
0,22651.5,6.08778e+06
0,23359.4,6.04313e+06
0,24067.2,6.03521e+06
0,24775.1,6.03505e+06
0,25483,5.98792e+06
0,26190.8,5.93919e+06
0,26898.7,5.95611e+06
0,27606.5,6.00625e+06
0,28314.4,5.98634e+06
0,29022.3,5.9151e+06
0,29730.1,5.88784e+06
0,30438,5.9254e+06
0,31145.8,5.91937e+06
0,31853.7,5.8258e+06
0,32561.6,5.78742e+06
0,33269.4,5.80245e+06
0,33977.3,5.7865e+06
0,34685.1,5.7488e+06
0,35393,5.80142e+06
0,36100.9,5.90926e+06
0,36808.7,5.90699e+06
0,37516.6,5.86601e+06
0,38224.4,5.83859e+06
0,38932.3,5.79465e+06
0,39640.2,5.73394e+06
0,40348,5.73898e+06
0,41055.9,5.84069e+06
0,41763.7,5.94715e+06
0,42471.6,6.02293e+06
0,43179.5,5.94374e+06
0,43887.3,5.8185e+06
0,44595.2,5.81255e+06
0,45303,5.766e+06
0,46010.9,5.70293e+06
0,46718.8,5.74706e+06
0,47426.6,5.77897e+06
0,48134.5,5.73643e+06
0,48842.3,5.73455e+06
0,49550.2,5.75233e+06
0,50258.1,5.74176e+06
0,50965.9,5.74796e+06
0,51673.8,5.74732e+06
0,52381.6,5.7311e+06
0,53089.5,5.72592e+06
0,53797.4,5.70805e+06
0,54505.2,5.66026e+06
0,55213.1,5.62903e+06
0,55920.9,5.67994e+06
0,56628.8,5.81619e+06
0,57336.7,5.89938e+06
0,58044.5,5.9876e+06
0,58752.4,6.08498e+06
0,59460.2,6.04232e+06
0,60168.1,5.91744e+06
0,60876,5.80228e+06
0,61583.8,5.74573e+06
0,62291.7,5.70071e+06
0,62999.5,5.67466e+06
0,63707.4,5.58618e+06
0,64415.3,5.5141e+06
0,65123.1,5.58732e+06
0,65831,5.67881e+06
0,66538.8,5.70681e+06
0,67246.7,5.69116e+06
0,67954.6,5.61793e+06
0,68662.4,5.52079e+06
0,69370.3,5.49814e+06
0,70078.1,5.52609e+06
0,70786,5.57214e+06
1111.9,0,6.02224e+06
1111.9,707.86,6.00825e+06
1111.9,1415.72,5.95973e+06
1111.9,2123.58,5.99085e+06
1111.9,2831.44,6.14563e+06
1111.9,3539.3,6.22159e+06
1111.9,4247.16,6.14045e+06
1111.9,4955.02,5.99437e+06
1111.9,5662.88,5.84058e+06
1111.9,6370.74,5.83011e+06
1111.9,7078.6,5.92298e+06
1111.9,7786.46,5.96098e+06
1111.9,8494.32,5.95186e+06
1111.9,9202.18,5.90149e+06
1111.9,9910.04,5.86242e+06
1111.9,10617.9,5.90716e+06
1111.9,11325.8,6.01387e+06
1111.9,12033.6,6.00168e+06
1111.9,12741.5,5.99943e+06
1111.9,13449.3,6.07561e+06
1111.9,14157.2,6.17327e+06
1111.9,14865.1,6.28783e+06
1111.9,15572.9,6.33697e+06
1111.9,16280.8,6.39199e+06
1111.9,16988.6,6.45391e+06
1111.9,17696.5,6.34791e+06
1111.9,18404.4,6.20163e+06
1111.9,19112.2,6.16288e+06
1111.9,19820.1,6.1433e+06
1111.9,20527.9,6.15216e+06
1111.9,21235.8,6.15662e+06
1111.9,21943.7,6.13682e+06
1111.9,22651.5,6.09591e+06
1111.9,23359.4,6.05081e+06
1111.9,24067.2,6.04244e+06
1111.9,24775.1,6.04185e+06
1111.9,25483,5.99427e+06
1111.9,26190.8,5.9451e+06
1111.9,26898.7,5.96158e+06
1111.9,27606.5,6.01128e+06
1111.9,28314.4,5.99093e+06
1111.9,29022.3,5.91924e+06
1111.9,29730.1,5.89154e+06
1111.9,30438,5.92867e+06
1111.9,31145.8,5.92219e+06
1111.9,31853.7,5.82817e+06
1111.9,32561.6,5.78936e+06
1111.9,33269.4,5.80395e+06
1111.9,33977.3,5.78755e+06
1111.9,34685.1,5.7494e+06
1111.9,35393,5.80159e+06
1111.9,36100.9,5.90898e+06
1111.9,36808.7,5.90627e+06
1111.9,37516.6,5.86485e+06
1111.9,38224.4,5.83698e+06
1111.9,38932.3,5.79261e+06
1111.9,39640.2,5.73146e+06
1111.9,40348,5.73605e+06
1111.9,41055.9,5.83732e+06
1111.9,41763.7,5.94334e+06
1111.9,42471.6,6.01867e+06
1111.9,43179.5,5.93904e+06
1111.9,43887.3,5.81336e+06
1111.9,44595.2,5.80697e+06
1111.9,45303,5.75997e+06
1111.9,46010.9,5.69647e+06
1111.9,46718.8,5.74015e+06
1111.9,47426.6,5.77162e+06
1111.9,48134.5,5.72864e+06
1111.9,48842.3,5.72632e+06
1111.9,49550.2,5.74365e+06
1111.9,50258.1,5.73264e+06
1111.9,50965.9,5.7384e+06
1111.9,51673.8,5.73732e+06
1111.9,52381.6,5.72066e+06
1111.9,53089.5,5.71504e+06
1111.9,53797.4,5.69672e+06
1111.9,54505.2,5.64849e+06
1111.9,55213.1,5.61682e+06
1111.9,55920.9,5.66729e+06
1111.9,56628.8,5.80309e+06
1111.9,57336.7,5.88584e+06
1111.9,58044.5,5.97362e+06
1111.9,58752.4,6.07056e+06
1111.9,59460.2,6.02746e+06
1111.9,60168.1,5.90213e+06
1111.9,60876,5.78653e+06
1111.9,61583.8,5.72954e+06
1111.9,62291.7,5.68407e+06
1111.9,62999.5,5.65758e+06
1111.9,63707.4,5.56866e+06
1111.9,64415.3,5.49614e+06
1111.9,65123.1,5.56892e+06
1111.9,65831,5.65996e+06
1111.9,66538.8,5.68752e+06
1111.9,67246.7,5.67143e+06
1111.9,67954.6,5.59776e+06
1111.9,68662.4,5.50018e+06
1111.9,69370.3,5.47708e+06
1111.9,70078.1,5.50459e+06
1111.9,70786,5.5502e+06
2132.98,0,6.04266e+06
2132.98,707.86,6.02831e+06
2132.98,1415.72,5.97939e+06
2132.98,2123.58,6.01008e+06
2132.98,2831.44,6.16442e+06
2132.98,3539.3,6.23995e+06
2132.98,4247.16,6.15838e+06
2132.98,4955.02,6.01187e+06
2132.98,5662.88,5.85765e+06
2132.98,6370.74,5.84675e+06
2132.98,7078.6,5.93919e+06
2132.98,7786.46,5.97675e+06
2132.98,8494.32,5.9672e+06
