Время,Время моделирования,Погрешность (Па)
0,86926.8,5831.19
0,87263.3,-8704.76
0,87600.5,-1582.8
0,87937.1,-23.8953
0,88273.3,4706.2
0,88609.8,-13390.1
0,88947.5,3612.03
0,89283.8,3734.18
0,89620.3,-6329.09
0,89957,447.416
0,90293.7,-3864.29
0,90631.1,11563.2
0,90966.7,3940.23
0,91302.9,2111.71
0,91639.5,-12926.5
0,91977,7928.52
0,92313.3,2605.48
0,92649.5,3552.17
0,92985.4,-10111.7
0,93322.9,-6909.66
0,93659.7,-8946.63
0,93997.3,2168.37
0,94334,-3080.81
0,94670.9,-4978.27
0,95007.9,-16822.7
0,95345.1,-9240.16
0,95681.4,-2012.51
0,96017.4,-5774.21
0,96354,-145.048
0,96690.6,-6180.04
0,97027.8,-9264.91
0,97364.9,19075.8
0,97700.2,11651.9
0,98036.2,-10427.1
0,98373.6,7800.49
0,98709.5,-2411.33
0,99046.4,3841.25
0,99382.5,-1064.54
0,99719.9,6356.44
0,100056,-6696.62
0,100393,11951.7
0,100728,-5822.6
0,101065,-14182.2
0,101402,-15688.3
0,101738,-15798.4
0,102075,-17673.5
0,102413,-7650.42
0,102750,-8560.39
0,103086,-2094.54
0,103422,-6349.34
0,103759,-994.626
0,104095,-18132.5
0,104432,-4068.25
0,104768,-8549.93
0,105105,-14957.1
0,105442,2885.18
0,105779,-18615.4
0,106116,-12835
0,106453,-22995.8
0,106791,-14387
0,107128,-16524.4
0,107465,-4123.16
0,107802,-1360.81
0,108138,-10961.6
0,108475,-1152.14
0,108812,-5800.23
0,109149,-1671.62
0,109486,2324.06
0,109822,13157.7
0,110158,8591.15
0,110494,-7836.35
0,110831,-7909.02
0,111168,2156.36
0,111504,-2831.49
0,111841,7020.05
0,112177,987.114
0,112514,16070.1
0,112849,4058.2
0,113186,-7010.5
0,113523,11223.4
0,113858,-2601.43
0,114194,-6057.38
0,114532,800.873
0,114868,3234.34
0,115205,-3749.14
0,115541,7165.02
0,115878,-7444.7
0,116214,-6334.11
0,116551,2809.77
0,116888,-2446.8
0,117225,15636.6
0,117560,13695.6
0,117896,4644.46
0,118232,542.316
0,118568,3312.1
0,118905,4989.59
0,119241,7006.65
0,119578,10149.6
0,119914,6150.18
