Время,Время моделирования,Стац - текущая реология
0,147500,-3.97207
0,148000,-14.1206
0,148500,-18.276
0,149000,-21.0724
0,149500,-12.0517
0,150000,-27.9761
0,150500,-19.4673
0,151000,-24.4353
0,151500,-14.2566
0,152000,-27.4028
0,152500,-15.9057
0,153000,-24.9723
0,153500,-20.3461
0,154000,-26.5102
0,154500,-31.2566
0,155000,-24.4171
0,155500,-20.7851
0,156000,-28.6952
0,156500,-27.8578
0,157000,-31.4179
0,157500,-28.3348
0,158000,-30.5104
0,158500,-23.7426
0,159000,-23.2337
0,159500,-33.1162
0,160000,-27.5357
0,160500,-34.3253
0,161000,-34.304
0,161500,-22.4896
0,162000,-42.6287
0,162500,-29.368
0,163000,-46.3703
0,163500,-30.1514
0,164000,-42.9254
0,164500,-22.187
0,165000,-24.3414
0,165500,-15.7439
0,166000,-33.3093
0,166500,-25.2099
0,167000,-25.4721
0,167500,-19.6265
0,168000,-34.7876
0,168500,-31.3457
0,169000,-18.962
0,169500,-34.393
0,170000,-24.5302
0,170500,-28.4627
0,171000,-22.4238
0,171500,-25.4999
0,172000,-25.2203
0,172500,-12.1417
0,173000,-28.2695
0,173500,-34.4764
0,174000,-28.9594
0,174500,-9.99988
0,175000,-8.11757
0,175500,-17.0807
0,176000,-23.0085
0,176500,-32.8829
0,177000,-20.5873
0,177500,-25.9111
0,178000,-20.2713
0,178500,-26.5766
0,179000,-8.7467
0,179500,-13.2076
0,180000,-3.6068
0,180500,-23.0271
0,181000,-26.0673
0,181500,-12.4502
0,182000,-21.7052
0,182500,-14.5198
0,183000,-8.69872
0,183500,3.99297
0,184000,-13.159
0,184500,-18.132
0,185000,-22.9692
0,185500,-8.79871
0,186000,-24.8547
0,186500,-3.47023
0,187000,-23.4391
0,187500,0.00125975
0,188000,-17.7062
0,188500,-15.4837
0,189000,-18.5749
0,189500,-12.68
0,190000,-11.0555
0,190500,-20.9712
0,191000,-11.0658
0,191500,-3.56614
0,192000,-21.8129
0,192500,0.496138
0,193000,-0.259007
0,193500,-22.3949
0,194000,-9.20789
0,194500,-15.7142
0,195000,-7.02764
0,195500,-17.6904
0,196000,-27.0572
0,196500,-21.0455
0,197000,-8.61482
0,197500,-6.69198
0,198000,-13.7006
0,198500,-14.0142
0,199000,-7.24521
0,199500,-7.03753
0,200000,0.461194
0,200500,-8.68614
0,201000,41.0055
0,201500,1.77049
0,202000,-21.6236
0,202500,-8.8975
0,203000,-17.371
0,203500,-5.12441
0,204000,-4.4759
0,204500,-12.3141
0,205000,-15.7359
0,205500,-13.5284
0,206000,-9.55418
0,206500,-11.297
0,207000,-8.65111
0,207500,-12.7474
0,208000,-6.45523
0,208500,-8.19626
0,209000,-17.0061
0,209500,-10.9216
0,210000,-15.694
0,210500,-24.1649
0,211000,-15.5513
0,211500,-7.32827
0,212000,-3.14568
0,212500,-6.43132
0,213000,-27.1936
0,213500,-5.68244
