time,время_Q_in,Q_in
0,5008,5898.98
0,5024,5867.44
0,5040,5871.96
0,5054,5907.94
0,5070,5898.89
0,5084,5880.95
0,5099,5898.92
0,5116,5885.35
0,5130,5853.96
0,5145,5885.53
0,5161,5898.98
0,5175,5858.45
0,5191,5871.93
0,5206,5934.89
0,5221,5903.36
0,5237,5849.46
0,5252,5880.89
0,5268,5930.37
0,5283,5894.43
0,5297,5863
0,5313,5885.47
0,5327,5862.97
0,5344,5863.03
0,5359,5921.41
0,5373,5889.93
0,5388,5880.95
0,5405,5862.94
0,5420,5885.44
0,5435,5889.96
0,5466,5907.91
0,5481,5871.96
0,5497,5880.89
0,5513,5907.88
0,5528,5898.98
0,5543,5876.45
0,5558,5907.94
0,5573,5921.39
0,5588,5912.4
0,5604,5885.44
0,5618,5880.95
0,5635,5885.44
0,5650,5885.41
0,5665,5889.96
0,5681,5876.4
0,5695,5876.45
0,5710,5889.93
0,5726,5903.44
0,5741,5894.4
0,5756,5845.03
0,5771,5881.01
0,5786,5876.45
0,5802,5898.95
0,5817,5853.93
0,5832,5912.43
0,5846,5908
0,5862,5885.41
0,5878,5907.88
0,5893,5871.96
0,5909,5948.34
0,5924,5889.93
0,5938,5907.85
0,5955,5894.46
0,5970,5871.96
0,5984,5876.43
0,6000,5880.95
0,6014,5903.44
0,6029,5912.37
0,6046,5934.86
0,6060,5898.95
0,6075,5912.37
0,6091,5880.92
0,6105,5876.48
0,6121,5885.44
0,6138,5894.43
0,6152,5889.91
0,6167,5898.92
0,6182,5849.46
0,6198,5889.93
0,6213,5916.86
0,6227,5898.86
0,6243,5907.88
0,6257,5925.85
0,6273,5916.89
0,6289,5871.93
0,6303,5930.4
0,6318,5880.95
0,6336,5894.43
0,6350,5894.52
0,6365,5885.44
0,6380,5880.92
0,6395,5903.41
0,6411,5871.96
0,6426,5903.38
0,6455,5912.49
0,6471,5880.98
0,6487,5876.45
0,6501,5898.92
0,6517,5898.89
0,6532,5849.49
0,6546,5916.89
0,6563,5880.92
0,6579,5898.95
0,6593,5907.91
0,6609,5894.43
0,6625,5867.53
0,6640,5889.88
0,6656,5916.89
0,6671,5858.45
0,6685,5903.38
0,6701,5871.96
0,6716,5876.45
0,6732,5889.96
0,6747,5934.86
0,6762,5912.46
0,6777,5898.92
0,6791,5867.5
0,6808,5939.35
0,6823,5894.34
0,6838,5907.91
0,6854,5903.33
0,6869,5876.43
0,6884,5907.94
0,6900,5916.92
0,6915,5862.97
0,6929,5898.92
0,6945,5898.89
0,6961,5871.99
0,6975,5925.91
0,6991,5871.99
0,7005,5907.82
0,7021,5867.44
0,7037,5890.02
0,7066,5862.94
0,7082,5885.47
0,7098,5853.96
0,7113,5921.36
0,7128,5885.44
0,7143,5894.46
0,7159,5871.96
0,7175,5890.02
0,7190,5916.89
0,7203,5880.98
0,7219,5889.88
0,7234,5885.41
0,7248,5876.43
0,7264,5889.96
0,7281,5889.99
0,7295,5871.93
0,7311,5853.99
0,7327,5894.4
0,7342,5898.95
0,7357,5880.95
0,7372,5854.01
0,7387,5907.94
0,7402,5925.88
0,7418,5876.45
0,7433,5916.86
0,7447,5849.52
0,7463,5889.96
0,7479,5925.88
0,7494,5898.89
0,7510,5880.95
0,7525,5930.31
0,7539,5885.41
0,7555,5907.91
0,7570,5862.97
0,7585,5880.92
0,7600,5885.47
0,7615,5889.99
0,7631,5898.92
0,7645,5876.48
0,7661,5849.46
0,7676,5840.5
0,7690,5876.48
0,7707,5885.44
0,7723,5934.8
0,7737,5885.44
0,7783,5903.36
0,7799,5903.38
0,7813,5840.5
0,7829,5880.89
0,7844,5876.45
0,7859,5880.98
0,7875,5898.95
0,7890,5862.92
0,7904,5885.47
0,7919,5876.45
0,7937,5889.96
0,7952,5885.44
0,7967,5853.96
0,7982,5885.44
0,7997,5858.45
0,8013,5903.44
0,8027,5867.5
0,8043,5867.47
0,8058,5849.49
0,8072,5894.46
0,8089,5871.93
0,8103,5858.48
0,8118,5903.38
0,8134,5885.47
0,8148,5885.44
0,8164,5921.39
0,8180,5925.88
0,8195,5871.93
0,8210,5889.93
0,8225,5876.4
0,8241,5853.99
0,8256,5939.35
0,8271,5876.45
0,8286,5885.47
0,8300,5889.93
0,8317,5930.4
0,8333,5894.4
0,8347,5885.47
0,8363,5903.36
0,8378,5894.34
0,8393,5849.46
0,8410,5862.94
0,8425,5894.43
0,8439,5845
0,8455,5853.96
0,8469,5889.91
0,8485,5867.53
0,8500,5912.43
0,8515,5889.93
0,8530,5925.85
0,8545,5930.28
0,8561,5912.46
0,8576,5871.93
0,8591,5871.96
0,8622,5934.92
0,8638,5907.94
0,8653,5885.41
0,8667,5871.9
0,8683,5867.47
0,8698,5871.93
0,8713,5844.94
0,8728,5876.4
0,8744,5894.46
0,8758,5889.93
0,8773,5925.85
0,8789,5871.99
0,8805,5890.02
0,8820,5934.86
0,8835,5912.43
0,8850,5925.88
0,8865,5800.05
0,8881,5876.48
0,8896,5898.89
0,8910,5880.98
0,8926,5930.4
0,8942,5862.94
0,8956,5871.99
0,8972,5863
0,8986,5934.86
0,9001,5907.94
0,9019,5880.89
0,9033,5903.44
0,9048,5930.34
0,9065,5889.91
0,9078,5858.48
0,9094,5903.41
0,9110,5934.86
0,9126,5880.95
0,9141,5912.46
0,9156,5876.48
0,9171,5862.94
0,9186,5831.49
0,9201,5858.54
0,9218,5925.88
0,9232,5912.4
0,9248,5876.43
0,9264,5903.38
0,9278,5889.93
0,9293,5934.92
0,9308,5898.89
0,9324,5930.46
0,9339,5894.49
0,9354,5880.92
0,9369,5880.95
0,9383,5916.89
0,9401,5871.9
0,9416,5889.96
0,9430,5907.91
0,9460,5903.47
0,9475,5903.38
0,9492,5885.44
0,9506,5867.44
0,9521,5880.89
0,9536,5871.99
0,9551,5885.5
0,9567,5858.54
0,9582,5885.44
0,9597,5894.37
0,9644,5849.46
0,9658,5898.89
0,9674,5867.5
0,9689,5867.47
0,9703,5885.35
0,9720,5898.92
0,9735,5894.49
0,9749,5898.95
0,9765,5885.44
0,9779,5871.99
0,9795,5876.48
0,9811,5885.44
0,9825,5903.36
0,9840,5898.89
0,9857,5898.95
0,9872,5871.99
0,9887,5867.47
0,9903,5871.93
0,9917,5876.48
0,9932,5894.37
0,9948,5876.48
0,9963,5876.43
0,9978,5835.98
0,9993,5894.46
0,10008,5898.83
0,10022,5930.37
0,10039,5889.91
0,10054,5903.41
0,10069,5912.37
0,10085,5916.92
0,10099,5907.88
0,10115,5876.43
0,10132,5939.33
0,10146,5880.95
0,10160,5885.38
0,10177,5876.43
0,10191,5885.47
0,10207,5889.96
0,10223,5867.47
0,10237,5898.95
0,10251,5894.43
0,10268,5876.45
0,10283,5894.4
0,10298,5871.96
0,10313,5903.38
0,10330,5880.92
0,10344,5880.95
0,10360,5894.43
0,10376,5889.96
0,10390,5880.92
0,10405,5894.46
0,10421,5903.44
0,10437,5885.47
0,10451,5867.44
0,10467,5898.95
0,10481,5880.89
0,10496,5894.43
0,10513,5885.41
0,10527,5885.35
0,10542,5858.51
0,10559,5871.93
0,10573,5898.95
0,10589,5862.92
0,10605,5849.46
0,10619,5907.85
0,10634,5863
0,10649,5889.91
0,10665,5876.45
0,10680,5925.88
0,10694,5863
0,10710,5885.47
0,10726,5907.97
0,10740,5898.89
0,10756,5894.46
0,10771,5876.43
0,10785,5867.44
0,10802,5871.96
0,10817,5889.93
0,10831,5862.92
0,10848,5853.96
0,10863,5858.48
0,10878,5871.87
0,10893,5871.96
0,10908,5903.41
0,10923,5916.98
0,10938,5903.44
0,10954,5907.94
0,10969,5912.43
0,10984,5907.94
0,10999,5907.88
0,11014,5871.99
0,11029,5925.94
0,11045,5898.92
0,11060,5894.4
0,11075,5885.44
0,11091,5867.47
0,11107,5889.88
0,11121,5858.48
0,11136,5934.89
0,11152,5930.37
0,11167,5903.47
0,11182,5921.33
0,11198,5907.88
0,11212,5894.43
0,11227,5916.92
0,11242,5898.92
0,11258,5871.96
0,11273,5862.94
0,11288,5880.98
0,11304,5921.39
0,11318,5907.88
0,11335,5876.48
0,11350,5898.95
0,11364,5867.53
0,11380,5876.43
0,11395,5871.96
0,11410,5880.92
0,11427,5903.41
0,11442,5858.48
0,11456,5916.95
0,11472,5889.93
0,11487,5894.46
0,11502,5889.96
0,11519,5890.05
0,11533,5854.01
0,11548,5898.92
0,11565,5867.38
0,11579,5844.97
0,11594,5894.46
0,11611,5885.35
0,11624,5916.92
0,11641,5894.49
0,11656,5871.93
0,11671,5903.44
0,11686,5867.44
0,11701,5858.42
0,11716,5898.92
0,11732,5880.89
0,11747,5871.93
0,11762,5858.51
0,11777,5907.94
0,11793,5853.96
0,11809,5912.46
0,11823,5880.95
0,11839,5930.4
0,11853,5907.91
0,11868,5885.44
0,11884,5898.95
0,11899,5921.36
0,11914,5898.95
0,11930,5907.91
0,11944,5881.01
0,11959,5894.43
0,11976,5867.5
0,11990,5880.89
0,12006,5903.41
0,12021,5876.48
0,12036,5862.94
0,12052,5871.93
0,12067,5898.95
0,12082,5894.43
0,12097,5885.47
0,12112,5903.41
0,12128,5876.43
0,12142,5894.43
0,12158,5858.48
0,12173,5871.96
0,12187,5872.02
0,12205,5836.01
0,12219,5889.96
0,12251,5898.98
0,12265,5889.88
0,12281,5894.46
0,12296,5903.36
0,12311,5844.97
0,12326,5880.95
0,12341,5854.01
0,12357,5876.45
0,12372,5898.92
0,12386,5885.44
0,12402,5898.95
0,12417,5898.86
0,12433,5885.47
0,12449,5889.99
0,12463,5903.41
0,12479,5871.9
0,12494,5871.99
0,12508,5880.86
0,12525,5876.4
0,12539,5898.95
0,12554,5876.45
0,12570,5862.94
0,12585,5867.5
0,12600,5862.97
0,12615,5907.85
0,12631,5854.01
0,12646,5867.41
0,12661,5871.93
0,12677,5876.45
0,12691,5880.95
0,12706,5916.89
0,12722,5885.44
0,12736,5871.96
0,12752,5862.97
0,12768,5907.88
0,12782,5880.95
0,12797,5880.92
0,12813,5930.34
0,12829,5903.38
0,12844,5903.44
0,12875,5907.94
0,12889,5854.01
0,12905,5871.87
0,12922,5867.47
0,12936,5894.43
0,12951,5894.4
0,12966,5889.99
0,12981,5934.86
0,12997,5889.93
0,13013,5863.03
0,13027,5876.45
0,13043,5907.91
0,13059,5894.43
0,13074,5867.5
0,13090,5876.45
0,13104,5871.9
0,13119,5925.91
0,13135,5889.91
0,13150,5912.4
0,13165,5862.94
0,13181,5907.88
0,13195,5876.45
0,13210,5871.96
0,13226,5903.36
0,13241,5894.46
0,13257,5916.92
0,13271,5907.85
0,13287,5930.37
0,13303,5889.96
0,13317,5898.86
0,13333,5889.96
0,13347,5907.97
0,13363,5898.89
0,13378,5894.49
0,13393,5907.91
0,13409,5889.96
0,13424,5912.4
0,13438,5871.99
0,13454,5970.83
0,13470,5858.45
0,13485,5862.94
0,13500,5871.99
0,13515,5898.95
0,13530,5912.4
0,13545,5881.01
0,13561,5898.89
0,13576,5876.4
0,13590,5903.47
0,13606,5921.33
0,13622,5898.89
0,13636,5907.85
0,13652,5885.41
0,13666,5871.96
0,13681,5880.92
0,13699,5907.91
0,13713,5889.96
0,13728,5912.43
0,13744,5880.98
0,13758,5921.41
0,13774,5858.48
0,13790,5880.95
0,13804,5912.49
0,13819,5885.41
0,13834,5903.41
0,13850,5822.5
0,13865,5898.89
0,13879,5885.44
0,13895,5880.98
0,13910,5885.38
0,13926,5912.52
0,13942,5867.44
0,13957,5894.4
0,13972,5898.83
0,13987,5898.89
0,14003,5885.41
0,14018,5849.49
0,14048,5903.38
0,14063,5876.45
0,14080,5871.96
0,14110,5867.44
0,14125,5889.93
0,14140,5871.99
0,14156,5871.96
0,14171,5885.44
0,14187,5903.38
0,14201,5876.45
0,14217,5876.43
0,14233,5880.95
0,14247,5894.46
0,14262,5907.97
0,14278,5903.38
0,14292,5871.99
0,14308,5872.05
0,14324,5885.41
0,14338,5871.96
0,14353,5907.88
0,14368,5880.95
0,14385,5925.91
0,14401,5903.41
0,14416,5880.95
0,14431,5912.43
0,14446,5908.02
0,14462,5898.95
0,14477,5907.91
0,14492,5871.96
0,14506,5903.36
0,14522,5863.03
0,14538,5845
0,14552,5880.92
0,14568,5871.9
0,14583,5889.91
0,14597,5925.94
0,14614,5889.93
0,14629,5876.48
0,14644,5876.45
0,14659,5907.91
0,14674,5889.99
0,14690,5903.44
0,14705,5876.57
0,14720,5867.53
0,14735,5912.43
0,14750,5907.91
0,14765,5885.41
0,14782,5858.51
0,14797,5912.37
0,14811,5934.86
0,14828,5885.35
0,14844,5858.48
0,14858,5916.92
0,14873,5916.83
0,14888,5898.95
0,14919,5889.96
0,14934,5849.4
0,14949,5853.96
0,14964,5881.01
0,14978,5849.49
0,14995,5831.54
0,15010,5862.94
0,15024,5916.95
0,15040,5880.98
0,15056,5921.33
0,15071,5881.04
0,15086,5845
0,15102,5858.45
0,15116,5921.41
0,15131,5894.43
0,15148,5849.46
0,15162,5912.46
0,15177,5916.95
0,15192,5903.41
0,15207,5880.95
0,15223,5881.04
0,15237,5898.92
0,15253,5898.89
0,15269,5849.49
0,15283,5889.96
0,15300,5894.4
0,15315,5885.44
0,15329,5934.92
0,15346,5876.4
0,15360,5867.53
0,15375,5894.43
0,15392,5862.92
0,15406,5894.46
0,15421,5916.92
0,15437,5849.49
0,15452,5880.95
0,15467,5898.98
0,15484,5876.45
0,15499,5867.5
0,15514,5898.95
0,15529,5921.39
0,15545,5871.96
0,15560,5894.4
0,15575,5907.94
0,15590,5876.48
0,15604,5867.44
0,15620,5903.38
0,15636,5916.92
0,15650,5849.55
0,15665,5921.44
0,15681,5849.49
0,15697,5898.92
0,15712,5849.52
0,15727,5880.92
0,15742,5948.43
0,15758,5894.49
0,15773,5934.98
0,15788,5867.41
0,15802,5853.93
0,15818,5871.99
0,15833,5876.48
0,15848,5903.47
0,15864,5880.95
0,15879,5880.92
0,15894,5876.43
0,15910,5889.96
0,15926,5835.98
0,15941,5934.89
0,15957,5894.43
0,15971,5862.94
0,15986,5894.43
0,16003,5871.96
0,16017,5880.95
0,16032,5898.92
0,16048,5880.92
0,16062,5889.93
0,16078,5863.03
0,16093,5854.01
0,16108,5912.4
0,16123,5912.49
0,16138,5867.5
0,16155,5885.5
0,16170,5912.4
0,16184,5840.53
0,16200,5844.97
0,16215,5876.45
0,16230,5867.44
0,16246,5885.47
0,16261,5907.97
0,16275,5903.41
0,16291,5876.48
0,16306,5876.45
0,16321,5849.46
0,16337,5876.34
0,16351,5921.39
0,16367,5885.5
0,16382,5898.92
0,16398,5907.91
0,16427,5885.41
0,16443,5889.93
0,16458,5894.46
0,16473,5818.03
0,16489,5934.89
0,16503,5863
0,16518,5836.04
0,16535,5880.98
0,16549,5840.39
0,16564,5907.91
0,16580,5943.82
0,16594,5925.88
0,16611,5885.44
0,16627,5943.88
0,16642,5934.8
0,16657,5912.4
0,16688,5925.91
0,16703,5921.36
0,16718,5845
0,16733,5876.54
0,16747,5903.44
0,16763,5862.97
0,16779,5871.96
0,16793,5894.46
0,16809,5889.96
0,16824,5880.95
0,16838,5818
0,16855,5876.45
0,16872,5903.44
0,16886,5862.94
0,16901,5871.9
0,16917,5912.4
0,16932,5876.45
0,16947,5894.43
0,16962,5916.86
0,16977,5912.43
0,16992,5885.44
0,17008,5885.41
0,17023,5894.49
0,17038,5876.48
0,17053,5849.43
0,17068,5853.96
0,17084,5844.94
0,17100,5885.47
0,17115,5867.47
0,17129,5894.43
0,17145,5871.9
0,17161,5858.42
0,17175,5885.47
0,17191,5840.47
0,17205,5876.43
0,17220,5894.43
0,17237,5871.96
0,17251,5925.85
0,17266,5943.82
0,17282,5876.45
0,17297,5826.99
0,17313,5916.89
0,17328,5849.46
0,17343,5876.48
0,17357,5916.92
0,17373,5952.83
0,17389,5871.9
0,17403,5853.99
0,17419,5894.46
0,17434,5867.44
0,17448,5876.45
0,17464,5871.9
0,17480,5858.51
0,17494,5845
0,17511,5876.45
0,17525,5885.44
0,17540,5876.48
0,17556,5849.49
0,17571,5876.45
0,17586,5903.44
0,17601,5867.38
0,17616,5871.96
0,17632,5872.02
0,17647,5912.31
0,17662,5889.91
0,17677,5898.95
0,17692,5885.5
0,17708,5876.51
0,17723,5867.53
0,17738,5912.46
0,17754,5853.96
0,17768,5916.92
0,17784,5871.99
0,17800,5876.45
0,17815,5921.39
0,17830,5876.45
0,17844,5894.4
0,17859,5925.85
0,17876,5880.98
0,17891,5853.96
0,17906,5889.88
0,17920,5898.86
0,17938,5858.57
0,17953,5903.41
0,17967,5885.38
0,17983,5894.43
0,17997,5889.91
0,18012,5934.92
0,18028,5898.95
0,18043,5907.94
0,18058,5939.27
0,18073,5853.96
0,18090,5898.92
0,18105,5880.92
0,18120,5885.5
0,18135,5831.54
0,18150,5885.5
0,18166,5880.92
0,18181,5867.5
0,18195,5840.59
0,18211,5867.5
0,18226,5898.92
0,18241,5903.38
0,18256,5858.51
0,18272,5903.47
0,18286,5876.45
0,18302,5854.01
0,18317,5876.43
0,18333,5894.43
0,18363,5894.49
0,18378,5840.45
0,18394,5844.97
0,18411,5885.47
0,18426,5872.02
0,18440,5880.98
0,18456,5876.4
0,18473,5853.99
0,18487,5916.92
0,18503,5916.95
0,18518,5876.45
0,18532,5867.47
0,18548,5871.93
0,18563,5853.93
0,18578,5889.93
0,18594,5845
0,18608,5867.44
0,18623,5894.43
0,18639,5858.54
0,18654,5912.43
0,18669,5849.52
0,18684,5809.01
0,18700,5889.96
0,18716,5898.89
0,18730,5898.92
0,18746,5858.48
0,18760,5867.5
0,18775,5898.98
0,18792,5894.49
0,18806,5853.99
0,18821,5903.41
0,18837,5867.5
0,18851,5867.47
0,18867,5867.53
0,18883,5907.88
0,18897,5880.92
0,18913,5903.47
0,18928,5862.97
0,18944,5867.44
0,18958,5840.53
0,18974,5885.47
0,18989,5876.51
0,19003,5867.44
0,19020,5862.94
0,19036,5903.38
0,19050,5898.95
0,19065,5898.92
0,19079,5858.51
0,19096,5889.93
0,19111,5881.01
0,19126,5863.03
0,19142,5921.39
0,19158,5858.48
0,19172,5916.92
0,19188,5894.4
0,19204,5867.5
0,19218,5880.95
0,19233,5916.89
0,19248,5871.99
0,19264,5894.34
0,19279,5871.84
0,19294,5894.43
0,19309,5894.46
0,19324,5849.49
0,19339,5872.02
0,19356,5849.55
0,19370,5885.44
0,19386,5885.5
0,19401,5898.95
0,19416,5880.95
0,19431,5898.92
0,19448,5858.48
0,19462,5894.43
0,19477,5925.88
0,19494,5903.38
0,19508,5894.43
0,19523,5871.96
0,19553,5876.4
0,19569,5885.47
0,19584,5907.88
0,19599,5894.46
0,19615,5871.9
0,19630,5907.85
0,19646,5894.46
0,19660,5867.44
0,19675,5840.53
0,19691,5867.47
0,19705,5853.99
0,19721,5939.33
0,19737,5925.85
0,19751,5894.4
0,19766,5853.99
0,19783,5867.47
0,19797,5881.01
0,19812,5871.93
0,19827,5894.43
0,19842,5876.45
0,19859,5889.96
0,19874,5894.4
0,19889,5912.4
0,19904,5863
0,19919,5876.43
0,19934,5907.85
0,19949,5836.1
0,19965,5930.34
0,19980,5889.96
0,19994,5849.43
0,20010,5898.95
0,20026,5885.5
0,20040,5916.92
0,20056,5871.96
0,20071,5871.99
0,20087,5903.36
0,20103,5894.46
0,20117,5867.47
0,20132,5876.48
0,20146,5894.52
0,20163,5867.41
0,20178,5916.89
0,20192,5921.5
0,20208,5889.93
0,20223,5880.92
0,20237,5880.98
0,20254,5871.93
0,20269,5880.95
0,20284,5881.01
0,20300,5876.43
0,20314,5880.92
0,20330,5907.88
0,20347,5898.95
0,20360,5916.92
0,20375,5908
0,20390,5845
0,20407,5934.86
0,20422,5903.47
0,20437,5889.99
0,20453,5889.96
0,20467,5885.44
0,20483,5867.47
0,20513,5876.43
0,20544,5867.44
0,20558,5885.47
0,20576,5867.47
0,20591,5925.94
0,20605,5903.38
0,20620,5889.93
0,20636,5921.41
0,20651,5827.05
0,20666,5921.44
0,20681,5867.44
0,20696,5916.83
0,20713,5876.45
0,20727,5903.38
0,20743,5907.91
0,20757,5858.51
0,20773,5903.44
0,20789,5849.49
0,20803,5889.93
0,20818,5863
0,20834,5867.44
0,20848,5898.95
0,20864,5880.89
0,20879,5849.52
0,20895,5885.44
0,20910,5876.48
0,20925,5849.46
0,20941,5871.93
0,20956,5876.43
0,20971,5845.03
0,20986,5880.92
0,21001,5858.51
0,21016,5880.95
0,21032,5907.94
0,21046,5907.88
0,21077,5885.41
0,21092,5876.45
0,21107,5889.96
0,21124,5849.46
0,21138,5889.93
0,21153,5876.45
0,21170,5871.99
0,21184,5871.96
0,21199,5894.43
0,21213,5862.97
0,21229,5853.99
0,21245,5885.38
0,21259,5885.47
0,21275,5898.92
0,21290,5889.93
0,21304,5907.88
0,21321,5849.52
0,21337,5889.93
0,21351,5898.98
0,21368,5898.92
0,21383,5881.01
0,21398,5867.38
0,21414,5863
0,21427,5894.49
0,21443,5845
0,21459,5898.95
0,21473,5894.43
0,21489,5912.43
0,21505,5885.35
0,21519,5876.45
0,21536,5871.99
0,21551,5863
0,21566,5894.46
0,21580,5903.38
0,21597,5912.43
0,21612,5898.83
0,21627,5876.48
0,21643,5903.47
0,21657,5908
0,21672,5903.36
0,21688,5925.91
0,21703,5871.93
0,21718,5916.92
0,21733,5898.92
0,21749,5903.47
0,21764,5844.97
0,21779,5903.38
0,21795,5871.96
0,21810,5862.94
0,21824,5858.42
