time,время_visc_in,visc_in
0,5373,9.96649
0,5388,10.0653
0,5405,10.0622
0,5420,10.2197
0,5435,10.2166
0,5451,9.96958
0,5466,10.0653
0,5481,10.0622
0,5497,10.4699
0,5513,9.91708
0,5528,9.92017
0,5543,10.1178
0,5558,10.1116
0,5573,10.1178
0,5588,10.0684
0,5635,10.0622
0,5650,10.2661
0,5665,10.1178
0,5681,10.1116
0,5695,10.0653
0,5726,10.0684
0,5741,10.019
0,5756,10.0097
0,5771,10.1672
0,5786,10.0653
0,5817,10.1178
0,5832,10.1116
0,5846,10.1672
0,5862,10.1178
0,5878,10.1116
0,5893,10.0653
0,5909,10.0622
0,5924,10.1178
0,5955,10.1116
0,5970,9.96649
0,5984,10.1055
0,6000,10.3155
0,6014,10.019
0,6029,10.0128
0,6046,10.1178
0,6060,10.2197
0,6091,10.1672
0,6105,10.1611
0,6121,10.2197
0,6138,10.3186
0,6152,10.3155
0,6167,10.1672
0,6182,10.1641
0,6198,10.2197
0,6213,10.1672
0,6227,10.1611
0,6243,10.1672
0,6257,10.0159
0,6273,10.019
0,6289,10.1672
0,6303,10.1611
0,6318,10.0653
0,6336,10.1147
0,6365,10.019
0,6380,10.0159
0,6395,10.1147
0,6411,10.1672
0,6426,10.1641
0,6441,10.3155
0,6455,10.3124
0,6471,10.2691
0,6487,10.0684
0,6501,10.0591
0,6517,10.1672
0,6532,10.2166
0,6546,10.2197
0,6563,10.2691
0,6579,10.263
0,6593,10.1178
0,6609,10.1672
0,6625,10.1641
0,6640,10.2691
0,6656,10.2661
0,6671,10.2197
0,6685,10.3124
0,6701,10.3093
0,6716,10.2691
0,6732,10.1765
0,6747,10.1672
0,6762,10.0653
0,6777,10.0591
0,6791,10.1672
0,6808,10.2166
0,6838,10.1178
0,6854,10.1147
0,6869,10.1672
0,6884,10.2661
0,6900,10.263
0,6915,10.2691
0,6929,10.2661
0,6945,10.3124
0,6961,10.4699
0,6975,10.4606
0,6991,10.3124
0,7005,10.2691
0,7051,10.2599
0,7066,10.3124
0,7082,10.1672
0,7113,10.3124
0,7128,10.3093
0,7143,10.1178
0,7159,10.3124
0,7175,10.3062
0,7190,10.368
0,7203,10.3216
0,7219,10.2166
0,7234,10.3093
0,7248,10.3062
0,7264,10.2691
0,7281,10.4699
0,7311,10.5193
0,7327,10.5131
0,7342,10.2691
0,7357,10.368
0,7372,10.3618
0,7387,10.5193
0,7402,10.5162
0,7433,10.2197
0,7447,10.2105
0,7463,10.2166
0,7479,10.3433
0,7494,10.368
0,7510,10.4205
0,7525,10.4112
0,7539,10.3124
0,7555,10.4205
0,7585,10.368
0,7600,10.3649
0,7615,10.3093
0,7645,10.3062
0,7661,10.3093
0,7676,10.3247
0,7690,10.4205
0,7707,10.2691
0,7723,10.263
0,7737,10.1672
0,7753,10.2691
0,7783,10.2197
0,7799,10.2105
0,7813,10.5193
0,7829,10.2691
0,7844,10.263
0,7859,10.368
0,7875,10.3649
0,7890,10.5687
0,7904,10.1178
0,7919,10.1116
0,7937,10.4668
0,7952,10.4421
0,7967,10.368
0,7982,10.1672
0,7997,10.1611
0,8013,10.4174
0,8027,10.3093
0,8058,10.5193
0,8072,10.5131
0,8089,10.368
0,8118,10.3618
0,8134,10.2661
0,8164,10.368
0,8180,10.4668
0,8195,10.4606
0,8210,10.4174
0,8225,10.3278
0,8241,10.3093
0,8256,10.5687
0,8271,10.5625
0,8286,10.5193
0,8300,10.6181
0,8333,10.4174
0,8347,10.4143
0,8363,10.4699
0,8378,10.2691
0,8393,10.263
0,8410,10.4174
0,8425,10.3896
0,8439,10.2197
0,8455,10.4668
0,8469,10.4606
0,8485,10.3093
0,8500,10.4668
0,8545,10.4637
0,8561,10.368
0,8576,10.4174
0,8591,10.4143
0,8607,10.9208
0,8622,10.9177
0,8638,10.5687
0,8653,10.4174
0,8667,10.4143
0,8683,10.368
0,8698,10.4359
0,8713,10.4668
0,8728,10.5193
0,8744,10.5131
0,8758,10.4205
0,8773,10.3124
0,8805,10.368
0,8820,10.3618
0,8835,10.368
0,8850,10.3124
0,8865,10.3062
0,8881,10.4668
0,8910,10.4699
0,8926,10.4668
0,8942,10.4606
0,8956,10.4668
0,8972,10.5471
0,8986,10.5687
0,9001,10.5193
0,9019,10.5131
0,9033,10.4174
0,9048,10.5687
0,9078,10.4668
0,9110,10.4205
0,9126,10.5193
0,9141,10.5131
0,9156,10.2691
0,9171,10.2846
0,9186,10.4668
0,9201,10.5687
0,9218,10.5656
0,9232,10.2691
0,9248,10.5378
0,9264,10.5687
0,9278,10.8219
0,9293,10.8127
0,9308,10.3711
0,9324,10.6212
0,9354,10.368
0,9369,10.3649
0,9383,10.4205
0,9401,10.368
0,9416,10.3618
0,9430,10.5193
0,9446,10.544
0,9460,10.6675
0,9475,10.5193
0,9492,10.5131
0,9506,10.3124
0,9521,10.4174
0,9567,10.4112
0,9582,10.5162
0,9597,10.5687
0,9613,10.5656
0,9628,10.368
0,9644,10.3649
0,9658,10.4699
0,9674,10.6212
0,9689,10.615
0,9703,10.5193
0,9720,10.544
0,9735,10.6212
0,9765,10.6119
0,9779,10.4174
0,9811,10.4205
0,9825,10.5193
0,9840,10.5162
0,9857,10.368
0,9872,10.5193
0,9887,10.5131
0,9903,10.5687
0,9917,10.5656
0,9932,10.7725
0,9948,10.4668
0,9963,10.4606
0,9978,10.6181
0,9993,10.6212
0,10008,10.6181
0,10022,10.6706
0,10039,10.6644
0,10054,10.5193
0,10069,10.5687
0,10099,10.5193
0,10115,10.5131
0,10132,10.6181
0,10146,10.5687
0,10160,10.5625
0,10177,10.4668
0,10207,10.368
0,10223,10.5718
0,10237,10.5625
0,10251,10.4668
0,10268,10.7169
0,10283,10.72
0,10298,10.6706
0,10313,10.6614
0,10330,10.5193
0,10344,10.5687
0,10360,10.5625
0,10376,10.5718
0,10390,10.5656
0,10405,10.4174
0,10421,10.6212
0,10437,10.615
0,10451,10.4174
0,10467,10.4421
0,10481,10.5193
0,10513,10.5131
0,10527,10.4174
0,10542,10.5193
0,10573,10.72
0,10589,10.7139
0,10605,10.4205
0,10619,10.6181
0,10634,10.6119
0,10649,10.6212
0,10665,10.6181
0,10680,10.4205
0,10694,10.4699
0,10710,10.4637
0,10726,10.6181
0,10740,10.4884
0,10756,10.4668
0,10771,10.72
0,10785,10.7139
0,10802,10.7169
0,10817,10.6675
0,10831,10.6706
0,10848,10.4699
0,10863,10.4668
0,10878,10.7694
0,10893,10.6706
0,10908,10.6614
0,10923,10.5687
0,10938,10.5656
0,10954,10.4668
0,10969,10.4699
0,10984,10.4606
0,10999,10.6675
0,11045,10.4668
0,11060,10.4606
0,11075,10.7694
0,11091,10.4699
0,11107,10.4637
0,11121,10.6675
0,11136,10.6644
0,11152,10.6706
0,11167,10.5193
0,11182,10.5131
0,11198,10.5193
0,11212,10.5286
0,11227,10.5687
0,11242,10.4668
0,11258,10.4606
0,11273,10.5162
0,11288,10.4668
0,11304,10.4699
0,11318,10.5193
0,11335,10.5131
0,11350,10.368
0,11364,10.6212
0,11380,10.615
0,11395,10.6181
0,11410,10.615
0,11427,10.4699
0,11442,10.5687
0,11456,10.5625
0,11472,10.72
0,11487,10.5533
0,11502,10.5193
0,11519,10.8683
0,11533,10.8652
0,11548,10.4668
0,11565,10.6212
0,11579,10.6181
0,11594,10.5687
0,11611,10.5656
0,11624,10.6181
0,11641,10.5193
0,11656,10.5131
0,11671,10.2691
0,11686,10.2661
0,11701,10.4699
0,11716,10.6706
0,11732,10.6644
0,11747,10.5687
0,11762,10.72
0,11777,10.7169
0,11793,10.72
0,11809,10.7108
0,11823,10.4174
0,11839,10.6212
0,11853,10.6181
0,11868,10.5193
0,11884,10.5162
0,11899,10.4699
0,11914,10.6212
0,11930,10.6119
0,11944,10.6181
0,11959,10.5872
0,11976,10.4699
0,11990,10.5193
0,12006,10.51
0,12021,10.5193
0,12036,11.0196
0,12052,11.0227
0,12067,10.5687
0,12082,10.5625
0,12097,10.6212
0,12112,10.5193
0,12128,10.5131
0,12142,10.5687
0,12158,10.5656
0,12173,10.6212
0,12187,10.72
0,12205,10.7108
0,12219,10.4668
0,12235,10.51
0,12251,10.5193
0,12281,10.51
0,12296,10.6181
0,12311,10.5193
0,12341,10.5687
0,12357,10.5656
0,12372,10.5193
0,12386,10.6212
0,12402,10.615
0,12417,10.5687
0,12433,10.5656
0,12449,10.5193
0,12463,10.5687
0,12479,10.5625
0,12494,10.6212
0,12508,10.4668
0,12539,10.6181
0,12554,10.6119
0,12570,10.5687
0,12600,10.5656
0,12615,10.72
0,12631,10.7169
0,12646,10.72
0,12661,10.6706
0,12677,10.6644
0,12691,10.6181
0,12706,10.5872
0,12722,10.4668
0,12736,10.6675
0,12752,10.6644
0,12768,10.6181
0,12782,10.6706
0,12797,10.6675
0,12813,10.72
0,12829,10.7139
0,12844,10.72
0,12859,10.6181
0,12875,10.615
0,12889,10.5718
0,12905,10.5656
0,12922,11.4705
0,12936,11.0196
0,12951,11.0134
0,12966,11.0196
0,12997,11.0227
0,13013,10.8683
0,13027,10.8652
0,13043,10.7694
0,13059,10.72
0,13074,10.7169
0,13090,10.6181
0,13104,10.615
0,13119,10.8714
0,13135,10.9702
0,13150,10.964
0,13165,10.9208
0,13181,10.9177
0,13195,10.8219
0,13210,10.8714
0,13226,10.8652
0,13241,10.6212
0,13257,10.6181
0,13287,10.5193
0,13303,10.5131
0,13317,10.7169
0,13333,10.6675
0,13363,10.72
0,13378,10.7169
0,13393,10.8219
0,13409,10.8683
0,13424,10.8652
0,13438,10.7694
0,13485,11.0196
0,13500,11.0165
0,13515,10.6675
0,13530,10.8189
0,13545,10.8219
0,13561,10.9177
0,13576,10.9146
0,13590,10.7169
0,13606,10.5687
0,13622,10.5625
0,13636,10.8714
0,13652,10.8652
0,13666,10.7169
0,13681,10.8683
0,13699,10.8621
0,13713,10.72
0,13728,10.6428
0,13744,10.6181
0,13758,10.7694
0,13774,10.7633
0,13790,10.9208
0,13804,10.7694
0,13819,10.7725
0,13834,10.8189
0,13850,10.8158
0,13865,10.6181
0,13879,10.7694
0,13895,10.7633
0,13910,10.72
0,13926,10.7169
0,13942,10.5687
0,13958,10.72
0,13972,10.7139
0,13987,10.7694
0,14018,10.7725
0,14034,10.9702
0,14048,10.964
0,14063,10.6706
0,14080,10.9208
0,14094,10.9177
0,14110,10.72
0,14125,10.7169
0,14140,10.5687
0,14156,10.6181
0,14171,10.6119
0,14187,10.7725
0,14201,10.7818
0,14217,10.8683
0,14233,10.6212
0,14247,10.6119
0,14262,10.7694
0,14278,10.8683
0,14292,10.8714
0,14308,10.7169
0,14324,10.7139
0,14338,10.6212
0,14353,10.7694
0,14368,10.7633
0,14385,10.7694
0,14416,10.6675
0,14431,10.6706
0,14446,10.6614
0,14462,10.8683
0,14477,10.7694
0,14492,10.7725
0,14506,11.0227
0,14522,11.0134
0,14538,10.6675
0,14552,10.6181
0,14568,10.615
0,14583,10.6675
0,14614,10.7694
0,14629,10.6706
0,14644,10.6614
0,14659,10.6706
0,14674,10.6675
0,14690,10.6706
0,14705,10.72
0,14720,10.7139
0,14735,10.7169
0,14750,10.8683
0,14782,10.72
0,14797,10.7139
0,14811,10.72
0,14828,10.7169
0,14844,10.7139
0,14858,10.8219
0,14873,10.8158
0,14888,10.5687
0,14903,10.72
0,14919,10.7139
0,14934,10.6706
0,14949,10.9208
0,14978,10.7694
0,14995,10.7633
0,15010,10.8219
0,15040,10.8189
0,15056,10.8219
0,15071,10.8189
0,15086,10.8219
0,15102,10.72
0,15116,10.7139
0,15131,10.6675
0,15148,10.7262
0,15162,10.8189
0,15177,10.8219
0,15192,10.8158
0,15207,10.8714
0,15223,10.72
0,15253,10.7694
0,15269,10.7633
0,15283,10.8219
0,15300,10.7169
0,15315,10.7139
0,15329,10.7694
0,15346,10.7664
0,15360,10.72
0,15375,10.7694
0,15392,10.7664
0,15406,10.7169
0,15421,10.8189
0,15437,10.8219
0,15452,10.6706
0,15467,10.6614
0,15484,10.8219
0,15499,10.8189
0,15529,10.7169
0,15545,10.7139
0,15560,10.7169
0,15575,10.8714
0,15590,10.8621
0,15604,10.6675
0,15636,10.7725
0,15650,10.8219
0,15665,10.8127
0,15681,10.9208
0,15697,10.6675
0,15727,10.6706
0,15742,10.6644
0,15758,10.8219
0,15773,10.8189
0,15788,10.8158
0,15802,10.8714
0,15818,10.8683
0,15833,10.7725
0,15848,10.8714
0,15864,10.8621
0,15879,10.8714
0,15894,10.8497
0,15910,10.8219
0,15926,12.3723
0,15941,12.363
0,15957,11.7731
0,15971,11.0721
0,16003,11.6712
0,16017,11.6681
0,16032,11.6218
0,16048,11.4736
0,16062,11.4643
0,16078,11.3717
0,16093,11.3686
0,16108,11.1153
0,16123,11.0227
0,16138,11.0165
0,16155,11.2203
0,16184,11.2234
0,16200,11.3717
0,16215,11.3655
0,16230,10.9208
0,16246,11.1709
0,16261,11.1678
0,16275,11.0196
0,16291,11.0165
0,16306,11.0227
0,16321,11.2203
0,16337,11.2172
0,16351,11.1153
0,16367,11.1092
0,16382,11.0227
0,16398,10.8189
0,16413,10.8127
0,16427,10.9702
0,16443,11.0196
0,16473,10.9702
0,16489,10.964
0,16503,11.523
0,16518,11.0227
0,16535,11.0165
0,16549,10.9208
0,16564,10.9177
